Timestamp,LatencyMs,Type
1764185886.790298,0.036240,Range
1764185886.790302,0.031948,Value
1764185886.795274,0.046015,Value
1764185886.795285,0.045061,Range
1764185886.795293,0.048161,Range
1764185886.795296,0.039577,Value
1764185886.795301,0.030279,Range
1764185886.800297,0.059605,Value
1764185886.800300,0.055552,Value
1764185886.800303,0.042677,Value
1764185886.800311,0.038147,Range
1764185886.800323,0.028372,Range
1764185886.805312,0.065565,Value
1764185886.805315,0.052452,Value
1764185886.805318,0.036240,Value
1764185886.805320,0.026226,Value
1764185886.805322,0.013828,Value
1764185886.810371,0.093460,Value
1764185886.810380,0.078440,Value
1764185886.810399,0.069141,Range
1764185886.810406,0.048876,Value
1764185886.810411,0.048161,Value
1764185886.815350,0.056982,Value
1764185886.815355,0.044823,Value
1764185886.815370,0.037432,Range
1764185886.815375,0.035763,Value
1764185886.815378,0.033855,Value
1764185886.820384,0.082016,Range
1764185886.820394,0.079155,Range
1764185886.820400,0.065565,Value
1764185886.820418,0.063658,Range
1764185886.820422,0.058413,Value
1764185886.825400,0.095129,Value
1764185886.825414,0.089645,Range
1764185886.825425,0.080585,Range
1764185886.825429,0.066042,Value
1764185886.825441,0.045776,Range
1764185886.830394,0.058889,Range
1764185886.830398,0.052452,Value
1764185886.830400,0.047684,Value
1764185886.830431,0.058174,Range
1764185886.830441,0.056028,Range
1764185886.835413,0.075102,Range
1764185886.835420,0.070095,Range
1764185886.835424,0.058174,Value
1764185886.835426,0.048637,Value
1764185886.835430,0.029087,Range
1764185886.840440,0.087976,Range
1764185886.840444,0.081062,Value
1764185886.840447,0.066280,Value
1764185886.840450,0.055790,Value
1764185886.840479,0.063419,Range
1764185886.845407,0.055075,Range
1764185886.845411,0.047922,Value
1764185886.845413,0.038385,Value
1764185886.845418,0.030756,Value
1764185886.845421,0.025749,Value
1764185886.850409,0.053883,Value
1764185886.850412,0.048399,Value
1764185886.850415,0.036955,Value
1764185886.850450,0.056744,Range
1764185886.850454,0.049591,Value
1764185886.855472,0.093222,Range
1764185886.855477,0.086784,Value
1764185886.855480,0.081062,Value
1764185886.855490,0.066519,Range
1764185886.855504,0.051022,Range
1764185886.860453,0.059843,Range
1764185886.860458,0.050783,Range
1764185886.860486,0.065088,Range
1764185886.860501,0.067711,Range
1764185886.860506,0.059605,Range
1764185886.865493,0.092983,Range
1764185886.865502,0.080109,Range
1764185886.865506,0.073433,Value
1764185886.865513,0.050306,Range
1764185886.865520,0.036001,Range
1764185886.870478,0.062466,Range
1764185886.870482,0.046730,Value
1764185886.870489,0.041723,Range
1764185886.870492,0.034332,Value
1764185886.870495,0.021219,Value
1764185886.875467,0.045538,Value
1764185886.875471,0.036955,Value
1764185886.875473,0.031471,Value
1764185886.875478,0.025749,Value
